date,git_commit,run_name,stage,checkpoint,source_data,source_rows,base_ckpt,rule,IconQA,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,Avg,delta_vs_baseline,required_gqa_for_target,promote,stop_reason,train_log,fusion_log,eval_log,notes
2026-05-08,6871776,source_okvqa_smoke20_20260507_235903,smoke,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-r32-smoke20-20260507_235903-smoke,okvqa_train_all_seed42,9009,,source_adapter_train,,,,,,,,,,false,smoke_pass,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/source_okvqa_smoke20_20260507_235903.log,,,OKVQA source-only adapter smoke passed; train_loss=1.02446; adapter_model.bin written; no eval yet
2026-05-08,8b7e46b,source_okvqa_s3000_lr1e4_20260508_001020,source_train,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-s3000-lr1e4-20260508_001020,okvqa_train_s3000_seed42,3000,,source_adapter_train,,,,,,,,,,false,train_complete,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/source_okvqa_s3000_lr1e4_20260508_001020.log,,,B_RC=0; source adapter train completed; train_loss=0.711586
2026-05-08,8b7e46b,source_okvqa_all_lr2e4_20260508_000605,source_train,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-source-okvqa-all-lr2e4-20260508_000605,okvqa_train_all_seed42,9009,,source_adapter_train,,,,,,,,,,false,train_complete,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/source_okvqa_all_lr2e4_20260508_000605.log,,,adapter_model.bin saved; deepspeed ranks exited successfully; launcher wrapper ended A_RC=127 after training; train_loss=0.685546
2026-05-08,8b7e46b,okvqadelta_s3000_okvqa_v_mid_l002_combined_20260508,partial_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-okvqadelta-okvqa_v_mid_l002,okvqa_train_s3000_seed42,3000,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,okvqa_v_mid_l002,86.26,52.68,54.8,,51.79,,,,64.12,false,required_gqa_gt_57_source_gain_insufficient,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_s3000_okvqa_v_mid_l002_iconqa_20260508_002430.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_s3000_okvqa_v_mid_l002_sourcepartial_20260508_004110.log,"IconQA gate passed but 3-task source avg=53.0900, delta3=+0.0733; required GQA for target avg=64.12; qkvo/lambda sweep does not change source enough"
2026-05-08,8b7e46b,okvqadelta_s3000_okvqa_qv_mid_l002_combined_20260508,partial_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-okvqadelta-okvqa_qv_mid_l002,okvqa_train_s3000_seed42,3000,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,okvqa_qv_mid_l002,86.23,52.78,54.8,,51.78,,,,64.15,false,required_gqa_gt_57_source_gain_insufficient,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_s3000_okvqa_qv_mid_l002_iconqa_20260508_002430.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_s3000_okvqa_qv_mid_l002_sourcepartial_20260508_004110.log,"IconQA gate passed but 3-task source avg=53.1200, delta3=+0.1033; required GQA for target avg=64.15; qkvo/lambda sweep does not change source enough"
2026-05-08,8b7e46b,okvqadelta_s3000_okvqa_v_mid_l005_combined_20260508,partial_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-okvqadelta-okvqa_v_mid_l005,okvqa_train_s3000_seed42,3000,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,okvqa_v_mid_l005,86.26,52.76,54.75,,51.77,,,,64.11,false,required_gqa_gt_57_source_gain_insufficient,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_s3000_okvqa_v_mid_l005_iconqa_20260508_011520.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_s3000_okvqa_v_mid_l005_sourcepartial_20260508_013010.log,"IconQA gate passed but 3-task source avg=53.0933, delta3=+0.0767; required GQA for target avg=64.11; qkvo/lambda sweep does not change source enough"
2026-05-08,8b7e46b,okvqadelta_s3000_okvqa_qv_mid_l005_combined_20260508,partial_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-okvqadelta-okvqa_qv_mid_l005,okvqa_train_s3000_seed42,3000,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,okvqa_qv_mid_l005,86.27,52.76,54.9,,51.8,,,,63.89,false,required_gqa_gt_57_source_gain_insufficient,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_s3000_okvqa_qv_mid_l005_iconqa_20260508_011520.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_s3000_okvqa_qv_mid_l005_sourcepartial_20260508_013010.log,"IconQA gate passed but 3-task source avg=53.1533, delta3=+0.1367; required GQA for target avg=63.89; qkvo/lambda sweep does not change source enough"
2026-05-08,8b7e46b,okvqadelta_s3000_okvqa_qkvo_mid_l002_combined_20260508,partial_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-okvqadelta-okvqa_qkvo_mid_l002,okvqa_train_s3000_seed42,3000,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,okvqa_qkvo_mid_l002,86.24,52.68,54.75,,51.78,,,,64.26,false,required_gqa_gt_57_source_gain_insufficient,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_s3000_okvqa_qkvo_mid_l002_iconqa_20260508_020500.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_s3000_okvqa_qkvo_mid_l002_sourcepartial_20260508_023220.log,"IconQA gate passed but 3-task source avg=53.0700, delta3=+0.0533; required GQA for target avg=64.26; qkvo/lambda sweep does not change source enough"
2026-05-08,8b7e46b,okvqadelta_all_okvqa_v_mid_l002_combined_20260508,partial_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-okvqadelta-all-okvqa_v_mid_l002,okvqa_train_all_seed42,9009,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,okvqa_v_mid_l002,86.24,52.73,54.8,,51.76,,,,64.18,false,required_gqa_gt_57_source_gain_insufficient,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_all_okvqa_v_mid_l002_iconqa_20260508_004125.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_all_okvqa_v_mid_l002_sourcepartial_20260508_005930.log,"IconQA gate passed but 3-task source avg=53.0967, delta3=+0.0800; required GQA for target avg=64.18; qkvo/lambda sweep does not change source enough"
2026-05-08,8b7e46b,okvqadelta_all_okvqa_qv_mid_l002_combined_20260508,partial_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-okvqadelta-all-okvqa_qv_mid_l002,okvqa_train_all_seed42,9009,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1-gamma090,okvqa_qv_mid_l002,86.27,52.74,54.8,,51.74,,,,64.07,false,required_gqa_gt_57_source_gain_insufficient,,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_all_okvqa_qv_mid_l002_iconqa_20260508_004125.log;/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/okvqadelta_all_okvqa_qv_mid_l002_sourcepartial_20260508_005930.log,"IconQA gate passed but 3-task source avg=53.0933, delta3=+0.0767; required GQA for target avg=64.07; qkvo/lambda sweep does not change source enough"
