date,category,run_name,stage,checkpoint,target_task,train_mix,rank,freeze_rank,okvqa_samples,coco_samples,lambda_target_kl,residual_l2,IconQA,COCO_CIDEr,OKVQA,OCRVQA,GQA,TextVQA,SourceAvg,Avg,delta_vs_reproduced_baseline,verdict,train_log,eval_log,notes
2026-05-12,B0,lorasculpt_reproduced_iconqa_official_issue2_rank32,reproduced_baseline_full_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-iconqa_txt_official_issue2-LoRASculpt-lora-r32-a64-e3-CMRLAMBDA1e-3-OMEGA1.0-RATIO0.1,IconQA,LoRASculpt official IconQA target,32,,,,,,86.26,,52.71,54.70,56.34,51.64,53.8475,70.0538,+0.00000,baseline_reference,,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/repro_results/20260505_lorasculpt_iconqa_official_issue2_rank32/summary.txt,Exact reproduced baseline used for all delta calculations.
2026-05-12,M1,tfr_bs_ok3k_coco3k_full_20260512_125734,full_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-bs-ok3k-coco3k-sw1-tkl1-full-20260512_125734,IconQA,IconQA10000+OKVQA3000+COCO3000,64,32,3000,3000,1.0,0.0,86.56,,58.64,60.25,56.78,53.13,57.2000,71.8800,+1.82625,success_above_plus1,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_full_20260512_125734.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_iconqa_20260512_140903.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_okvqa_20260512_141902.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_source_remainder_20260512_142845.log,adapter_keys=448; frozen_diff=0.0; residual_diff=0.01465
2026-05-12,M2,tfr_bs_iconqa_main_coco_caption_probe,coco_caption_probe,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-bs-ok3k-coco3k-sw1-tkl1-full-20260512_125734,COCO-Caption probe,IconQA10000+OKVQA3000+COCO3000,64,32,3000,3000,1.0,0.0,86.56,1.2138,58.64,60.25,56.78,53.13,57.2000,71.8800,+1.82625,probe_complete,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_full_20260512_125734.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_iconqa_main_coco_caption_probe_20260512_161643.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_iconqa_main_coco_caption_metric_ofa_script_20260512_163308.log,"Generated captions with lorasculpt env; metric rerun via OFA python because lorasculpt env lacks pycocotools/pycocoevalcap. Full caption metrics: Bleu4=0.3538, METEOR=0.2837, ROUGE_L=0.5745, SPICE=0.2239."
2026-05-12,A3a,tfr_bs_ok3k_coco1500_smoke20_20260512_163511,smoke20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-bs-ok3k-coco1500-sw1-tkl1-smoke20-20260512_163511-20260512_163511-smoke,IconQA,IconQA10000+OKVQA3000+COCO1500,64,32,3000,1500,1.0,0.0,,,,,,,,,,smoke_passed,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco1500_smoke20_20260512_163511.log,,20 steps; train_loss=0.79485; gradient_masks hooks=448 freeze_rank=32 frozen_values=79953920 residual_values=79953920; frozen_diff=0.0 residual_diff=0.0005417
2026-05-12,A3a,tfr_bs_ok3k_coco1500_full_20260512_164743,full_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-bs-ok3k-coco1500-sw1-tkl1-full-20260512_164743,IconQA,IconQA10000+OKVQA3000+COCO1500,64,32,3000,1500,1.0,0.0,86.83,,59.06,58.55,56.57,52.67,56.7125,71.7713,+1.71750,success_above_plus1_below_main,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco1500_full_20260512_164743.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco1500_iconqa_20260512_175656.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco1500_okvqa_20260512_180601.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco1500_source_remainder_20260512_181339.log,"COCO1500 ablation: stronger IconQA/OKVQA than COCO3000 main, but lower OCRVQA/GQA/TextVQA; Avg is +1.7175 vs reproduced baseline and -0.10875 vs COCO3000 main. adapter_keys=448; frozen_diff=0.0; residual_diff=0.0109864"
2026-05-12,A2a,tfr_bs_ok3k_coco3k_tkl0_smoke20_20260512_184722,smoke20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-bs-ok3k-coco3k-sw1-tkl0-smoke20-20260512_184722-20260512_184722-smoke,IconQA,IconQA10000+OKVQA3000+COCO3000,64,32,3000,3000,0.0,0.0,,,,,,,,,,smoke_passed,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_tkl0_smoke20_20260512_184722.log,,20 steps; train_loss=0.96241; target_kl=0.0; gradient_masks hooks=448 freeze_rank=32 frozen_values=79953920 residual_values=79953920; frozen_diff=0.0 residual_diff=0.0005569
2026-05-12,A2a,tfr_bs_ok3k_coco3k_tkl0_full_20260512_190205,full_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-bs-ok3k-coco3k-sw1-tkl0-full-20260512_190205,IconQA,IconQA10000+OKVQA3000+COCO3000,64,32,3000,3000,0.0,0.0,86.78,,59.04,59.85,56.20,52.93,57.0050,71.8925,+1.83875,new_best_success_above_plus1,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_tkl0_full_20260512_190205.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_tkl0_iconqa_20260512_215117.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_tkl0_okvqa_20260512_220044.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_tkl0_source_remainder_20260512_220812.log,Target-KL ablation/new best: removing target-teacher KL improves IconQA and OKVQA; OCRVQA/GQA/TextVQA are lower than target_kl=1.0 but aggregate Avg is +0.0125 above M1. train_loss=0.49105; adapter_keys=448; frozen_diff=0.0; residual_diff=0.01147
2026-05-12,A4a,tfr_bs_ok3k_coco3k_fr16_tkl0_smoke20_20260512_224316,smoke20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-bs-ok3k-coco3k-fr16-sw1-tkl0-smoke20-20260512_224316-20260512_224316-smoke,IconQA,IconQA10000+OKVQA3000+COCO3000,64,16,3000,3000,0.0,0.0,,,,,,,,,,smoke_passed,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_fr16_tkl0_smoke20_20260512_224316.log,,20 steps; train_loss=0.87443; gradient_masks hooks=448 freeze_rank=16 frozen_values=39976960 residual_trainable_values=119930880; frozen_diff=0.0 residual_diff=0.0005531
2026-05-13,A4a,tfr_bs_ok3k_coco3k_fr16_tkl0_full_no2_20260512_230610,full_eval,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-bs-ok3k-coco3k-fr16-sw1-tkl0-full-no2-20260512_230610,IconQA,IconQA10000+OKVQA3000+COCO3000,64,16,3000,3000,0.0,0.0,86.54,,59.66,59.10,55.96,53.02,56.9350,71.7375,+1.68375,success_above_plus1_below_current_best,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_fr16_tkl0_full_no2_20260512_230610.log,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_fr16_tkl0_iconqa_20260513_010530.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_fr16_tkl0_okvqa_20260513_011350.log; /data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_fr16_tkl0_source_remainder_20260513_012134.log,"Freeze-rank ablation: lowering protected target rank from 32 to 16 improves OKVQA but lowers IconQA/OCRVQA/GQA enough to trail A2a. train_loss=0.48971; adapter_keys=448; frozen_diff=0.0; residual_diff=0.01337; launched on GPUs 0,1,4,6 to avoid GPU 2 fan issue."
2026-05-13,M4a,tfr_bs_ok3k_coco3k_r96_fr32_tkl0_smoke20_20260513_021036,smoke20,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/checkpoints/llava-v1.5-7b-lorasculpt-tfr-bs-ok3k-coco3k-r96-fr32-sw1-tkl0-smoke20-20260513_021036-20260513_021036-smoke,IconQA,IconQA10000+OKVQA3000+COCO3000,96,32,3000,3000,0.0,0.0,,,,,,,,,,smoke_passed,/data/guoboyang/LoRa-Projects/LoRASculpt-repro/logs/tfr_bs_ok3k_coco3k_r96_fr32_tkl0_smoke20_20260513_021036.log,,"Rank-scaling smoke: rank96 alpha192 freeze_rank32 doubles residual trainable values while keeping the same protected target block. 20 steps passed; train_loss=0.95999; hooks=448; frozen_values=79953920; residual_values=159907840; frozen_diff=0.0; residual_diff=0.0005493; launched on GPUs 0,1,4,6 to avoid GPU 2 fan issue."
